trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",35,14,16.692552481068624,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,0,-58.188107929496375,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,7,33.65877015075649,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,14,19.45672470147719,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,7,9.33061246642655,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,19.779374157656672,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,15,14.76353420389738,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,12,25.011776913827823,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",30,24,11.543986580933494,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,15,9.493209207370839,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,6,-76.0015721742068,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,10,11.918401028917378,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,5,-14.233848307882926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",35,9,51.78029922133987,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,20,8.957705065720077,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,18,7.821450929210343,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",20,5,4.832895039516053,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,0,6.426971146329629,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",30,7,-5.153233267578436,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,2,14.42880950494149,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,6,26.132202540693402,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,14,10.878552935482668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,14,11.265050407931886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,16,16.48141048714817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,13,12.009342795362707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,3,2.4866390409008288,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
